TimeFrame,Data (%)
"Apr 23-May 12, 2020",39.0
"May 7-May 19, 2020",38.0
"May 14-May 26, 2020",37.0
"May 21-Jun 2, 2020",39.0
"May 28-Jun 9, 2020",39.0
"Jun 4-Jun 16, 2020",38.0
"Jun 11-Jun 23, 2020",40.0
"Jun 18-Jun 30, 2020",40.0
"Jun 25-Jul 7, 2020",41.0
"Jul 2-Jul 14, 2020",42.0
"Jul 9-Jul 21, 2020",41.0
"Sep 2-Sep 28, 2020",39.0
"Aug 19-Sep 14, 2020",39.0
"Sep 16-Oct 12, 2020",40.0
"Sep 30-Oct 26, 2020",43.0
"Oct 14-Nov 9, 2020",47.0
"Oct 28-Nov 23, 2020",50.0
"Nov 11-Dec 7, 2020",50.0
"Nov 25-Dec 21, 2020",48.0
"Jan 6-Feb 1, 2021",45.0
"Jan 20-Feb 15, 2021",47.0
"Feb 3-Mar 1, 2021",48.0
"Feb 17-Mar 15, 2021",46.0
"Mar 3-Mar 29, 2021",44.0
"Apr 14-May 10, 2021",44.0
"Apr 28-May 24, 2021",42.0
"May 12-Jun 07, 2021",39.0
"May 26-Jun 21, 2021",38.0
"Jun 09-Jul 05, 2021",39.0
